"name","cuisine","visited","rating","notes","gps","googleUrl","originalUrl"
"Boudro's on the Riverwalk","American",,"low",,"29.4240604,-98.4909127","https://maps.google.com/maps?q=+%4029.4240604,-98.4909127","https://www.google.com/maps/place/Boudro's+on+the+Riverwalk/data=!4m2!3m1!1s0x865c58ab3f8c1475:0x4b6c70b9b48686e6"
"Box St. All Day Brunch - Hemisfair","Brunch",,"low",,"29.4195391,-98.4891872","https://maps.google.com/maps?q=+%4029.4195391,-98.4891872","https://www.google.com/maps/place/Box+St.+All+Day+Brunch+-+Hemisfair/data=!4m2!3m1!1s0x865c5f617740051d:0xb5ca19f21e0f87ae"
"Cafe Dubai","Middle Eastern","✓","high","Very good falafel","29.3978739,-98.5072741","https://maps.google.com/maps?q=+%4029.3978739,-98.5072741","https://www.google.com/maps/place/Cafe+Dubai/data=!4m2!3m1!1s0x865c59ebf8f2aaeb:0x5a074af72b0377a8"
"Camp Outpost","American",,"low",,"29.4113031,-98.5025627","https://maps.google.com/maps?q=+%4029.4113031,-98.5025627","https://www.google.com/maps/place/Camp+Outpost/data=!4m2!3m1!1s0x865c59f1b8150cdf:0x162e958dc03388e1"
"Candy's Old Fashion Burgers","Hamburger",,"low",,"29.4243386,-98.4983567","https://maps.google.com/maps?q=+%4029.4243386,-98.4983567","https://www.google.com/maps/place/Candy's+Old+Fashion+Burgers/data=!4m2!3m1!1s0x865c58ad61877091:0xb455dda9b07eb609"
"Capo's Pizzeria","Pizza",,"low",,"29.5178416,-98.4649827","https://maps.google.com/maps?q=+%4029.5178416,-98.4649827","https://www.google.com/maps/place/Capos+Pizzeria/data=!4m2!3m1!1s0x865cf54aa1eefbc7:0x881e61ae6170a1c8"
"Capparelli's On Main","Italian",,"medium",,"29.4537033,-98.4963427","https://maps.google.com/maps?q=+%4029.4537033,-98.4963427","https://www.google.com/maps/place/Capparelli's+On+Main/data=!4m2!3m1!1s0x865c5f660ac8ab87:0xa629cf312fc3ac09"
"Cappy's","Seafood",,"low",,"29.47265,-98.466032","https://maps.google.com/maps?q=+%4029.47265,-98.466032","https://www.google.com/maps/place/Cappy's+Restaurant/data=!4m2!3m1!1s0x865cf59fe42b6abd:0xbe16214491543e1d"
"Carmens De La Calle","Spanish",,"high",,"29.428055,-98.4968357","https://maps.google.com/maps?q=+%4029.428055,-98.4968357","https://www.google.com/maps/place/Carmens+De+La+Calle/data=!4m2!3m1!1s0x865c5f61e9e67499:0x337c3f711b1154c2"
"Casa Chacon","Mexican",,"low",,"29.4481451,-98.5617462","https://maps.google.com/maps?q=+%4029.4481451,-98.5617462","https://www.google.com/maps/place/Casa+Chacon/data=!4m2!3m1!1s0x865c5e9717c8160d:0x19cfa7ddc7d069a1"
"Chatman's Chicken","American",,"low",,"29.401851,-98.4083425","https://maps.google.com/maps?q=+%4029.401851,-98.4083425","https://www.google.com/maps/place/Chatman's+Chicken+Restaurant/data=!4m2!3m1!1s0x865cf6c8cad57927:0xb5094824d60aa94e"
"Cheesy Jane's","Hamburger","✓","low",,"29.4650703,-98.4663519","https://maps.google.com/maps?q=+%4029.4650703,-98.4663519","https://www.google.com/maps/place/Cheesy+Jane's/data=!4m2!3m1!1s0x865c5f54bfffffff:0xc980f6f41c72a602"
"Chef's Table Turkish Mediterranean Grill","Mediterranean / Turkish","✓","high","Get the Adana kebab","29.4911148,-98.5721656","https://maps.google.com/maps?q=+%4029.4911148,-98.5721656","https://www.google.com/maps/place/Chef's+Table+Turkish+Mediterranean+Grill/data=!4m2!3m1!1s0x865c5f1e5ae8d799:0xdaeadcb519ff61d5"
"Chester's Hamburgers","Hamburger","✓","low",,"29.5324521,-98.5673804","https://maps.google.com/maps?q=+%4029.5324521,-98.5673804","https://www.google.com/maps/place/Chester's+Hamburgers/data=!4m2!3m1!1s0x865c60b6f7243fa9:0x80406714d6cb8b28"
