Album,Artist,Genre,Favorite Songs,Rating
"Magic, Alive!",McKinley Dixon,Jazz Rap,"Magic, Alive!, Run, Run, Run Pt. II, Sugar Water",g
Only Dust Remains,Backxwash,Experimental Hip Hop,"History Of Violence, Wake Up, 9th Heaven",g
"Sincerely,",Kali Uchis,Soul / Alternative R&B,"Heaven is a Home…, Lose My Cool,, Angels All Around Me…",g
Getting Killed,Geese,Indie Rock / Art Rock,"Cobra, Taxes, Long Island City Here I Come",g
The Crux,Djo,Indie Pop / Pop Rock,"Potion, Lonesome Is A State of Mind, Charlie's Garden",s
Equus Asinus,Men I Trust,Bedroom Pop,"All My Candles, The Landkeeper, I Come With Mud",s
勇気,betcover!!,Jazz Rock / Art Rock,"ゴーゴースチーム, ミー子のコンサート, 野猿",s
choke enough,Oklou,Alt-Pop / Electronic,"blade bird, plague dogs, harvest sky",s
Son Of Spergy,Daniel Caesar,Singer-Songwriter / R&B,"Sins Of The Father (Feat. Bon Iver), Sign Of The Times, Have A Baby (With Me)",s
NEVER ENOUGH,Turnstile,Hardcore Punk / Dream Pop,"I CARE, NEVER ENOUGH, SUNSHOWER",s
Fancy That,PinkPantheress,Dance Pop / Drum and Bass,"Stateside, Nice to Know You, Romeo",s
Ace,Madison Cunningham,Singer-Songwriter / Chamber Folk,"Beyond That Moon, Shore, Skeletree",s
Vendrán Suaves Lluvias,Silvana Estrada,Chamber Folk / Singer-Songwriter,"Como Un Pájaro, Flores, Dime",s
I Love My Computer,Ninajirachi,Electro House,"iPod Touch, All I Am, Infohazard",s
"Patience, Moonbeam",Great Grandpa,Indie Rock / Dream Pop,"Never Rest, Doom, Kid",s
newLove,juno,Emo Rap / Bedroom Pop,"play with fire, temporary crush, more up than eva",s
God's Gonna Give You a Million Dollars,Shallowater,Slowcore / Alt-Country,"Ativan, God's Gonna Give You a Million Dollars, Sadie",s
LOOP:GLAMOUR,loopcinema,Synthpop / Glitch Pop,"MERCÚRIO, LOUCAS-NO-BEAT, DISCO: Lada",s
Lotus,Little Simz,Conscious Hip Hop,"Lotus, Free, Only",s
sankofa,redveil,Jazz Rap / Conscious Hip Hop,"time (a dream deferred), brown sugar, mini me",s
Pilgrim,Jesse Welles,Americana / Singer-Songwriter,"Will The Computer Love The Sunset, We’re All Gonna Die, Philanthropist (feat. Billy Strings)",s
Egotrip,"John michel, Anthony James",Chipmunk Soul / Conscious Hip Hop,"Don't Save Me, world's end, NOBODY",s
Prema,Fujii Kaze,Contemporary R&B,"Casket Girl, Love Like This, Hachikō",s
Ginkgo,Panchiko,Indie Rock,"Ginkgo, Lifestyle Trainers, Chapel of Salt",b
Forever Howlong,"Black Country, New Road",Art Rock,"Nancy Tries to Take the Night, Happy Birthday, Two Horses",b
Hers,Matt Maltese,Indie Pop / Art Pop,"Arthouse Cinema, Buses Replace Trains, Anytime, Anyplace, Anyhow",b
In The Blue Light,Kelela,Soul / R&B,"Waitin’ (unplugged), Bankhead (unplugged), Take Me Apart (unplugged)",b
Fairyland Codex,Tropical Fuck Storm,Art Punk,"Irukandji Syndrome, Teeth Marché, Bloodsport",b
Vice City Magic,Mustard Service,Indie Pop,"Yucky's Song, Going Nowhere, Big Time",b
Adult Romantix,Winter,Shoegaze,"Just Like A Flower, Misery, Without You",b
