Album,Artist,Genre,Favorite Songs,Rating
EUSEXUA,FKA twigs,Art Pop / Techno,"Eusexua, Perfect Stranger, Girl Feels Good",b
viagr aboys,Viagra Boys,Dance Punk,"Pyramid of Health, Man Made of Meat, The Bog Body",b
Racing Mount Pleasant,Racing Mount Pleasant,Chamber Pop / Art Rock,"Your New Place, Emily, Outlast",b
Phantom Island,King Gizzard & The Lizard Wizard,Symphonic Rock,"Deadstick, Phantom Island, Grow Wings and Fly",b
La Vida Era Más Corta,Milo j,Art Pop / Latin Folk,"Niño, Ama De Mi Sol, Recordé",b
"Lust for Life, Or: 'How To Thread The Needle And Come Out The Other Side To Tell The Story'",Courting,Indie Rock / Dance-Punk,"Lust for Life, After You, Eleven Sent (This Time)",b
Sky Record,Dan English,Neo-Psychedelia / Chamber Folk,"Need, Across My Jaw, Sky Record Song",b
Pretty People Blot Out The Sun,Watson Moon,Indie Folk / Singer-Songwriter,"Turn Away, Autobahn (Unmarked Van), Jacob In The Chamber",b
Y’all,glaive,Digicore / Pop Rap,"Asheville, Fuck, We Don't Leave the House",b
For Melancholy Brunettes (& sad women),Japanese Breakfast,Indie Folk / Singer-Songwriter,"Here is Someone, Orlando in Love, Winter in LA",b
Baby,Dijon,Alternative R&B / Neo-Psychedelia,"Automatic, Yamaha, Kindalove",b
Cancionera,Natalia Lafourcade,Singer-Songwriter / Latin Jazz,"El Palomo y La Negra, El Coconito, Apertura Cancionera",b
Lonely People With Power,Deafheaven,Blackgaze / Post-Metal,"Amethyst, Doberman, The Garden Route",b
Burnover,Greg Freeman,Indie Rock / Alt-Country,"Gallic Shrug, Point and Shoot, Rome, New York",b
"Um Mar Pra Cada Um,",Luedji Luna,Progressive Soul / Jazz Fusion,"Dentro Ali, Karma, Salty",b
Black Hole Superette,Aesop Rock,Abstract Hip Hop,"Unbelievable Shenanigans, So Be It, Himalayan Yak Chew",b
Holo Boy,This Is Lorelei,Indie Pop,"Dreams Away, I Can't Fall, SF & GG",b
A Matter of Time,Laufey,Jazz Pop,"Lover Girl, Tough Luck, Clockwork",b
Twilight Override,Jeff Tweedy,Singer-Songwriter / Contemporary Folk,"Enough, One Tiny Flower, KC Rain (No Wonder)",b
Equus Caballus,Men I Trust,Bedroom Pop,"Ring Of Past (2025), Come Back Down, To Ease You",b
TIDE/TIED,Thanya Iyer,Art Pop,"Wash it all away, Low Tides, I am here now",b
"SABLE, fABLE",Bon Iver,Pop Soul / Indie Folk,"Everything Is Peaceful Love, If Only I Could Wait, Walk Home",b
The Art of Loving,Olivia Dean,Pop Soul,"So Easy (To Fall In Love), Nice To Each Other, Lady Lady",b
Evangelic Girl is a Gun,yeule,Pop Rock / Alternative Pop,"Dudu, Tequila Coma, Evangelic Girl is a Gun",b
The Scholars,Car Seat Headrest,Indie Rock,"Reality, CCF (I'm Gonna Stay With You), The Catastrophe (Good Luck With That, Man)",b
Clarity of Cal,Vulfpeck,Funk / Pop Soul,"Big Dipper, Matter of Time, New Beastly",b
Addison,Addison Rae,Alternative Pop / Alternative R&B,"Fame is a Gun, Aquamarine, Headphones On",b
"by them, by you, by me",Harmless,Bedroom Pop,"why do you do this to me?, what's another year?, future music",b
I I,Blood Abscission,Atmospheric Black Metal,"I I - I, I I - I I I, I I - V",b
Animaru,Mei Semones,Indie Pop / Bossa Nova,"Dumb Feeling, I can do what I want, Tora Moyo",b
a seasons end.,drug bug,Noise Pop,"a seasons end., boy kisser, dont talk to me or ill kill myself :3",b
Mark William Lewis,mark william lewis,Singer-Songwriter /Slowcore,"Still Above, Petals, Ecstatic Heads",b
DON'T TAP THE GLASS,"Tyler, The Creator",Pop Rap / Dance,"Sucka Free, Ring Ring Ring, Big Poe (feat. Sk8brd)",b
CRYSALIS,Jenevieve,Contemporary R&B / Neo-Soul,"Naive, Hvn High, Crysalis",u
BELOVED,GIVĒON,Contemporary R&B / Pop Soul,"MUD, RATHER BE, TWENTIES",u
LOWER,Benjamin Booker,Art Rock / Neo-Soul,"SAME KIND OF LONELY, BLACK OPPS, SHOW AND TELL",u
QUIT QUIETLY,落日飛車 Sunset Rollercoaster,Soft Rock / Indie Pop,"Satellite, Wind of Tomorrow, Bluebird",u
K1,kmoe,Indietronica / Indie Rock,"Thousand yard stare, Aired out, Don't be like mouse",u
Fall Back,Florence Road,Indie Rock,"Hand Me Downs, Goodnight, Heavy",u
