Album,Artist,Genre,Favorite Songs,Rating
Titanic Rising,Weyes Blood,Art Pop,"Andromeda, A Lot's Gonna Change, Picture Me Better",g
the first glass beach album,glass beach,Emo Pop / Indie Rock,"cold weather, bedroom community, classic j dies and goes to hell part 1",g
IGOR,"Tyler, The Creator",Alternative R&B / Neo-Soul,"NEW MAGIC WAND, GONE GONE / THANK YOU, EARFQUAKE",g
Somewhere City,Origami Angel,Midwest Emo,"The Title Track, 24 Hr Drive-Thru, Skeleton Key",g
Bismillah,Peter Cat Recording Co.,Jazz Pop,"Soulless Friends, Memory Box, Floated By",g
KIWANUKA,Michael Kiwanuka,Psychedelic Soul,"You Ain't The Problem, Light, Hero",g
Twenty Twenty,Djo,Psychedelic Pop,"Roddy, Personal Lies, Chateau (Feel Alright)",s
My Finest Work Yet,Andrew Bird,Chamber Pop,"Sisyphus, Manifest, Archipelago",s
Morbid Stuff,PUP,Pop Punk / Emo,"Morbid Stuff, Kids, See You At Your Funeral",s
Father of the Bride,Vampire Weekend,Indie Pop,"This Life, Flower Moon, Sunflower",s
Her and All of My Friends,Ritt Momney,Singer-Songwriter / Indie Pop,"Paper News, Wormwood, Lew's Lullaby",s
Every letter I sent you.,Yerin Baek,Contemporary R&B / Singer-Songwriter,"Square (2017), Rest, Popo (How deep is our love?)",s
When We Were Friends,The Backseat Lovers,Indie Rock,"Pool House, Kilby Girl, Dugout",s
New Moon,"Rav, Kill Bill:The Rapper",Abstract Hip Hop / Cloud Rap,"Cult, Dirge, Fair One",s
Miami Memory,Alex Cameron,Pop Rock,"Far From Born Again, Bad For The Boys, Divorce",s
Lamb Over Rice,"Action Bronson, The Alchemist",East Coast Hip Hop,"Dmitri, Descendant of the Stars, Arnold & Danny",b
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Alternative Pop,"all the good girls go to hell, when the party's over, xanny",b
Don't Get Dark,Del Water Gap,Alternative Pop,"Don't Say Nothing, Laid Down My Arms, To Philly",b
Pony,Rex Orange County,Indie Pop,"Pluto Projector, Face to Face, Always",b
Fine Line,Harry Styles,Pop,"Golden, Canyon Moon, Adore You",b
1000 gecs,100 gecs,Hyperpop,"money machine, hand crushed by a mallet, ringtone",b
