Album,Artist,Genre,Favorite Songs,Rating
"The Pilgrim, Their God & the King of My Decrepit Mountain",Tapir!,Indie Folk,"On A Grassy Knoll (We'll Bow Together), Gymnopédie, My God",b
Connla's Well,Maruja,Post-Punk / Post-Rock,"The Invisible Man, One Hand Behind The Devil, Resisting Resistance",b
BETA,Peter Cat Recording Co.,Jazz Pop / Sophisti Pop,"Suddenly, 21c, Flowers R. Blooming",b
I Got Heaven,Mannequin Pussy,Indie Rock / Punk Rock,"I Got Heaven, Nothing Like, I Don't Know You",b
AQUARIUM CITY,Louie Zong,City Pop / Jazz,"MACKEREL MILE, AQUARIUM CITY, EEL EXPRESS",b
Prelude to Ecstasy,The Last Dinner Party,Pop Rock,"The Feminine Urge, Sinner, Nothing Matters",b
Em,My Anh,K-Pop / Vietnamese Pop,"Chẳng Thể Né Tránh, Đánh Cược, Ở Đây Lúc Này",b
May It Never Falter,glaive,Emo Rap / Hyperpop,"For God and Country, EVERYDOG HAS ITS DAY, 60.000 ISK",b
COWBOY CARTER,Beyoncé,Country Pop,"TEXAS HOLD 'EM, AMERIICAN REQUIEM, DAUGHTER",b
When a Thought Grows Wings,Luna Li,Indie Pop,"That's Life, Confusion Song, I Would Let You",b
Girl With No Face,Allie X,Goth Pop,"Galina, Black Eye, Off With Her Tits",b
There Must Be Something Here,acloudyskye,Indie Rock,"Flares, Surface, Team",b
COYOTE,Tommy Richman,Alternative R&B / Synth Funk,"WHITNEY, TEMPTATIONS, LETTERMAN",b
VANISHING ACT II: ULTIMATE REALITY,Clarence Clarity,Hyperpop,"What Year Is This?!?! JFC, ALLATONCENESS, To Be A Bat",b
Something for Everybody,Sammy Rae & The Friends,Funk Pop,"Coming Home Song, Cool-Doug at Night, We Made It",u
Clancy,Twenty One Pilots,Alternative Pop,"Next Semester, Overcompensate, Paladin Strait",u
shadowbox,MAVI,Abstract Hip Hop,"the giver, open waters, i'm so tired",u
New Last Name,Courting,Pop Rock,"Emily G, Flex, Babys",u
Loss Of Life,MGMT,Psychedelic Pop,"Dancing In Babylon, Bubblegum Dog, Nothing To Declare",u
Dunya,Mustafa,Singer-Songwriter / Neo-Soul,"Name of God, SNL, Leaving Toronto",u
JOHANN SEBASTIAN BACHLAVA THE DOCTOR,Action Bronson,Jazz Rap,"NOURISH A THUG, SPLASH (PROVOCATIV), SHADOW REALM",u
People Who Aren't There Anymore,Future Islands,Synthpop,"King of Sweden, Say Goodbye, The Tower",u
Catch 22,Deux Visages,Indie Rock,"February, Tethered, Cut Bangs",u
play with earth! 0.03,wave to earth,Neo-Psychedelia / Soft Rock,"play with earth!, annie., are you bored?",u
under a cloud,"yubiori, Acle",Midwest Emo,"radiation cooling, interlude, bird cage",u
Short n' Sweet,Sabrina Carpenter,Pop,"Please Please Please, Espresso, Taste",u
ORQUÍDEAS,Kali Uchis,Latin Pop,"Igual Que Un Ángel, Pensamientos Intrusivos, Te Mata",u
Cometh The Storm,High On Fire,Sludge Metal,"Trismegistus, Lambsbread, Burning Down",u
EELS,Being Dead,Garage Rock / Surf Rock,"Firefighters, Godzilla Rises, Van Goes",u
Charcoal Grace,Caligula's Horse,Progressive Metal,"The World Breathes with Me, Golem, Charcoal Grace I: Prey",u
