Album,Artist,Genre,Favorite Songs,Rating
Beloved! Paradise! Jazz!?,McKinley Dixon,Jazz Rap / Conscious Hip Hop,"Beloved! Paradise! Jazz!?, Tyler Forever, Sun I Rise",g
Lahai,Sampha,Alternative R&B,"Spirit 2.0, Only, Dancing Circles",g
Drive Home,Portraits Of Tracy,Pop Rap / Alternative R&B,"Found!, Graceland, Home",g
SCARING THE HOES,"JPEGMAFIA, Danny Brown",Experimental Hip Hop,"Lean Beef Patty, Burfict!, Jack Harlow Combo Meal",g
Why Does the Earth Give Us People to Love?,Kara Jackson,Singer-Songwriter / Indie Folk,"why does the earth give us people to love?, pawnshop, no fun/party",g
Let's Start Here.,Lil Yachty,Psychedelic Rock,"drive ME crazy!, running out of time, the BLACK seminole.",g
Bewitched,Laufey,Jazz Pop,"Bewitched, Lovesick, Dreamer",g
That! Feels Good!,Jessie Ware,Dance Pop / Disco,"Begin Again, Pearls, That! Feels Good!",s
blómi,Susanne Sundfør,Singer-Songwriter,"blómi, alyosha, náttsǫngr",s
Calico,Ryan Beatty,Indie Pop / Singer-Songwriter,"Cinnamon Bread, Ribbons, Bruises Off The Peach",s
Wallsocket,underscores,Hyperpop / Electronic,"Locals (Girls like us), Old money bitch, Johnny johnny johnny",s
HELLMODE,Jeff Rosenstock,Pop Punk,"WILL U STILL U, I WANNA BE WRONG, 3 SUMMERS",s
Heaven knows,PinkPantheress,Drum and Bass / Pop,"Mosquito, Capable of love, Another life",s
Javelin,Sufjan Stevens,Singer-Songwriter,"So You Are Tired, Shit Talk, Will Anybody Ever Love Me?",s
Zach Bryan,Zach Bryan,Country,"Tourniquet, Overtime, Hey Driver",s
UGLY,slowthai,Post-Punk,"Sooner, Tourniquet, HAPPY",s
Sundial,Noname,Jazz Rap,"black mirror, oblivion, boomboom",s
Knocknarea,Maruja,Art Rock / Post-Punk,"Thunder, The Tinker, Blind Spot",s
the record,boygenius,Singer-Songwriter / Indie Folk,"Revolution 0, $20, Cool About It",s
We Are Still Wild Horses,MF Tomlinson,Singer-Songwriter / Indie Folk,"A Cloud, Winter Time Blues, We Are Still Wild Horses",b
映帶する煙 (Eitai suru kemuri),君島大空 (Ohzora Kimishima),Folktronica,"19℃, ぬい, 都合",b
Census Designated,Jane Remover,Shoegaze,"Backseat Girl, Cage Girl / Camgirl, Video",b
