Album,Artist,Genre,Favorite Songs,Rating
FORWARD,Jordan Ward,R&B,"FAMJAM4000, WHITE CROCS, CHERIMOYA",b
Time-Lapse,YUKIKA,City Pop / Covers,"I want to be closer to you, Remember Summer Days, Telephone Number",b
Red Moon In Venus,Kali Uchis,R&B,"All Mine, Moonlight, I Wish you Roses",b
GUTS,Olivia Rodrigo,Pop,"vampire, the grudge, love is embarrassing",b
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Singer-Songwriter / Art Pop,"Did you know that there's a tunnel under Ocean Blvd, The Grants, Let The Light In",b
Live at Bush Hall,"Black Country, New Road",Art Rock,"Turbines/Pigs, Up Song, Laughing Song",b
The Rise and Fall of a Midwest Princess,Chappell Roan,Dance Pop,"Red Wine Supernova, Femininomenon, Casual",b
KNOWER FOREVER,KNOWER,Jazz / Funk,"I'm The President, The Abyss, Do Hot Girls Like Chords?",b
NEVER ENOUGH,Daniel Caesar,R&B,"Please Do Not Lean, Toronto 2014, Let Me Go",b
Volcano,Jungle,Funk / Disco,"Candle Flame, I've Been In Love, Back On 74",b
portrait of a dog,Jonah Yano,Jazz / Neo-soul,"the ordinary is ordinary because it ordinarily repeats, always, haven't haven't",b
"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",King Gizzard & The Lizard Wizard,Metal,"Gila Monster, Motor Spirit, Witchcraft",b
But Here We Are,Foo Fighters,Alternative Rock,"Rescued, Hearing Voices, Nothing At All",b
My Back Was A Bridge For You To Cross,ANOHNI,Singer-Songwriter / Soul,"Sliver Of Ice, Rest, It Must Change",b
After the Magic,Parannoul,Shoegaze,"Arrival, Polaris, Parade",b
Everything Harmony,The Lemon Twigs,Soft Rock,"When Winter Comes Around, In My Head, New To Me",b
Moments of Clarity,Narrow Head,Shoegaze / Grunge,"Caroline, The Real, Moments of Clarity",b
Ascension,Sarah Kinsley,Indie Pop,"Oh No Darling!, Lovegod, Sliver Of Time",u
The Loveliest Time,Carly Rae Jepsen,Pop,"Shy Boy, Kamikaze, Put It To Rest",u
My 21st Century Blues,RAYE,Pop / R&B,"Worth It., Escapism, The Thrill Is Gone",u
Gigi's Recovery,The Murder Capital,Art-Rock / Punk,"A Thousand Lives, Crying, Only Good Things",u
Girl with Fish,feeble little horse,Noise Pop / Shoegaze,"Freak, Station, Paces",u
Variety Pack,Mustard Service,Indie Pop,"Baby It's Scary, Late Night Drive, Larkin's Parkin'",u
Life's a Blur,Superbloom,Grunge / Shoegaze,"Pig, Head First, Daisy",u
Midnight Tangerine,death's dynamic shroud,Vaporwave / Glitch Pop,"A Part Of Me, Who I Say I Am, The Bleeding Of The Sun",u
Fountain Baby,Amaarae,Alternative R&B / Pop,"Angels in Tibet, Disguise, Reckless & Sweet",u
Quiet Music For Young People,Dana and Alden,Jazz,"Dragonfly, Let's Go to Trader Joe's, July 98",u
Sensory Flows - the 1st Album,YESUNG,K-Pop,"Small Things, All Night Long, Like Us",u
Miniature Tigers,Miniature Tigers,Indie Pop,"Zzz, Lavender Boombox, Bloomless",u
Rádio Mistério,Pedro Martins,Jazz / Funk,"Isn't It Strange, Nada Vai Ser Em Vão, Polos",u
Ooh Rap I Ya,George Clanton,Dream Pop / Psychedelia,"Everything I Want, I Been Young, Punching Down",u
