Album,Artist,Genre,Favorite Songs,Rating
Crumbling,Mid-Air Thief,Folktronica,"These Chains, Gameun Deut, Why?",g
Avantdale Bowling Club,Avantdale Bowling Club,Jazz Rap,"Years Gone By, F(r)iends, Home",g
Golden Hour,Kacey Musgraves,Country Pop,"Golden Hour, Happy & Sad, Slow Burn",g
Room 25,Noname,Jazz Rap / Conscious Hip Hop,"Self, no name, Montego Bae",g
God's Favorite Customer,Father John Misty,Chamber Pop,"Mr. Tillman, Hangout at the Gallows, God's Favorite Customer",s
Lush,Snail Mail,Indie Rock,"Pristine, Heat Wave, Stick",s
Wide Awake!,Parquet Courts,Art Punk / Indie Rock,"Freebird II, Tenderness, Total Football",s
The Good Life,Sammy Rae & The Friends,Funk Pop,"Kick It to Me, The Feeling, Talk It Up",s
I Need to Start a Garden,Haley Heynderickx,Singer-Songwriter / Indie Folk,"The Bug Collector, No Face, Untitled God Song",s
Swimming,Mac Miller,Alternative R&B / Pop Rap,"Come Back to Earth, Small Worlds, Ladders",s
A Laughing Death in Meatspace,Tropical Fuck Storm,Art Punk,"Two Afternoons, Chameleon Paint, Antimatter Animals",s
Joy in the Wild Unknown,Ripe,Funk Pop,"Passerby, Flipside, Little Lighter",s
Soy Pablo,boy pablo,Bedroom Pop / Indie Pop,"Losing You, Feeling Lonely, Sick Feeling",s
TA13OO,Denzel Curry,Trap / Conscious Hip Hop,"CLOUT COBAIN, TABOO, SUMO",b
Bambi,Hippo Campus,Indie Pop,"Bambi, Golden, Doubt",b
Streams Of Thought Vol. 2,"Black Thought,Salaam Remi",East Coast Hip Hop / Conscious Hip Hop,"Fentanyl, Conception, History Unfolds",b
A Safety Meeting,Manwolves,Jazz Rap / Alternative R&B,"Runnin', Shkleepy, Reaper",b
A Brief Inquiry Into Online Relationships,The 1975,Art Pop,"Give Yourself A Try, Love It If We Made It, Be My Mistake",b
Invitation to Her's,Her's,Indie Pop,"Harvey, If You Know What's Right, Under Wraps",b
POST-,Jeff Rosenstock,Pop Punk / Indie Rock,"9/10, USA, All This Useless Energy",b
Wide Awake,Rayland Baxter,Alternative Country / Singer-Songwriter,"Strange American Dream, 79 Shiny Revolvers, Angeline",b
Living Room,Lawrence,Pop Funk,"Probably Up, More, Limbo",b
This Is It,The Greeting Committee,Indie Pop,"17, Is This It?, More",b
just friends,potsu,Lo-Fi Hip Hop,"take me there, letting go, gazebo",b
Angel Youth,Vansire,Dream Pop,"Halcyon Age, Angel Youth, Nice to See You",b
Hill Climber,Vulfpeck,Jazz Funk,"Half of the Way, Lonely Town, Darwin Derby",b
