Album,Artist,Genre,Favorite Songs,Rating
GLOW ON,Turnstile,Hardcore Punk / Dream Pop,"MYSTERY, UNDERWATER BOI, HOLIDAY",g
Mercurial World,Magdalena Bay,Synthpop / Dance Pop,"Secrets (Your Fire), Hysterical Us, You Lose!",g
Butterfly 3000,King Gizzard & The Lizard Wizard,Psychedelic Pop,"Shanghai, Yours, Catching Smoke",s
CALL ME IF YOU GET LOST,"Tyler, The Creator",West Coast Hip Hop,"SWEET / I THOUGHT YOU WANTED TO DANCE, WUSYANAME, CORSO",s
An Evening With Silk Sonic,Silk Sonic,Soul / Funk,"Leave The Door Open, Skate, Smokin Out The Window",s
The Turning Wheel,SPELLLING,Art Pop,"Little Deer, Always, Turning Wheel",s
Happier Than Ever,Billie Eilish,Alternative Pop,"Getting Older, Happier Than Ever, Halley's Comet",s
Daddy's Home,St. Vincent,Psychedelic Soul,"The Melting Of The Sun, Pay Your Way In Pain, Somebody Like Me",b
Jubilee,Japanese Breakfast,Indie Pop,"Paprika, Be Sweet, Kokomo IN",b
The Fool,Bladee,Cloud Rap / Trap,"BBY, egobaby, I Think...",b
Sling,Clairo,Soft Rock / Singer-Songwriter,"Amoeba, Bambi, Harbor",b
The Melodic Blue,Baby Keem,Trap,"family ties, trademark usa, 16",b
Formula of Love: O+T=<3,TWICE,K-Pop,"SCIENTIST, The Feels, F.I.L.A",b
Valentine,Snail Mail,Indie Rock,"Valentine, Ben Franklin, Mia",b
