Album,Artist,Genre,Favorite Songs,Rating
The New Abnormal,The Strokes,Indie Rock,"The Adults Are Talking, Selfless, Ode To The Mets",g
Circles,Mac Miller,Alternative R&B,"Good News, Everybody, Hand Me Downs",g
SOUL LADY,YUKIKA,City Pop / K-Pop,"SOUL LADY, Cherries Jubiles, NEON 1989",g
Punisher,Phoebe Bridgers,Indie Folk / Singer-Songwriter,"Kyoto, Chinese Satellite, Garden Song",g
Give Me A Minute,Lizzy McAlpine,Singer-Songwriter,"Give Me A Minute, To the Mountains, Nothing / Sad N Stuff",s
A Call from My Dream,Meaningful Stone,Dream Pop,"Beep-Boop Beep-Boop, A Call from My Dream, Treasure hunt",s
folklore,Taylor Swift,Singer-Songwriter / Folk Pop,"exile, august, the 1",s
Only For Dolphins,Action Bronson,Jazz Rap,"C12H16N2, Capoeira, Latin Grammys",s
Aquarium,Bronze,City Pop / K-Pop,"Orange Road, Melody, Submarine",b
evermore,Taylor Swift,Singer-Songwriter / Folk Pop,"champagne problems, willow, evermore",b
C'est la Vie,Mustard Service,Indie Pop / Bedroom Pop,"Pleasantries (With Your Lover), Need, Daddy Dookie Brown",b
"The Joy of Music, The Job of Real Estate",Vulfpeck,Funk,"LAX, 3 on E, Test Drive (Instrumental)",b
Third Semester,Shalfi,Math Rock / Lofi,"Opening Theme, Hero's Theme, Ending Theme",b
