Album,Artist,Genre,Favorite Songs,Rating
Melt My Eyez See Your Future,Denzel Curry,Conscious Hip Hop,"Melt Session #1 [Feat. Robert Glasper], Walkin, Troubles [Feat. T-Pain]",g
Ants From Up There,"Black Country, New Road",Art Rock,"The Place Where He Inserted the Blade, Good Will Hunting, Concorde",g
Dawn FM,The Weeknd,Pop / Synthpop,"Out of Time, Sacrifice, Gasoline",g
DECIDE,Djo,Psychadelic Pop,"Change, On and On, Runner",g
I Didn't Mean To Haunt You,Quadeca,Alternative R&B,"don't mind me, tell me a joke, sorry4dying",g
TREES,Avantdale Bowling Club,Jazz Rap,"Rent 2 High, Twenty Eight, Friday Night @ The Liquor Store",s
Darklife,death's dynamic shroud,Glitch Pop,"Neon Memories, Judgment Bolt, Stay",s
Gemini Rights,Steve Lacy,R&B,"Mercury, Sunshine (feat. Fousheé), Bad Habit",s
From 2 to 3,Peach Pit,Indie Pop,"Look Out!, Up Granville, Vickie",s
five seconds flat,Lizzy McAlpine,Singer-Songwriter / Indie,"ceilings, doomsday, all my ghosts",s
The Forever Story,JID,Conscious Hip Hop,"Kody Blu 31, Surround Sound (feat. 21 Savage & Baby Tate), Sistanem",s
Wet Leg,Wet Leg,Indie Rock,"Too Late Now, Wet Dream, Ur Mum",s
Bronco,Orville Peck,Country,"C'mon Baby, Cry, Daytona Sand, The Curse of the Blackened Eye",s
"And In The Darkness, Hearts Aglow",Weyes Blood,Dream pop / Art pop,"It's Not Just Me, It's Everybody, Grapevine, God Turn Me Into a Flower",s
Hellfire,black midi,Experimental Rock,"Sugar/Tzu, The Defence, Welcome to Hell",s
I've Seen Better Days,amaii,Hyperpop,"Dust, Supermarket california roll, hey! cool bike",s
"Ice, Death, Planets, Lungs, Mushrooms And Lava",King Gizzard & The Lizard Wizard,Psychadelic Rock / Jazz Rock,"Ice V, Magma, Hell's Itch",s
Crest,"Bladee, Ecco2k",Hyperpop / Cloud Rap,"White Meadow, Desire is a Trap, Girls Just Want to Have Fun",b
Omnium Gatherum,King Gizzard & The Lizard Wizard,Psychadelic Rock,"Magenta Mountain, Presumptuous, The Dripping Tap",b
Chloë and the Next 20th Century,Father John Misty,Alternative / Chamber Pop,"Goodbye Mr. Blue, Buddy's Rendezvous, Funny Girl",b
"Grip Your Fist, I'm Heaven Bound",Racing Mount Pleasant,Chamber Pop / Art Rock,"Do You Think I'm Pretty, Reichenbach Falls, Holy Hell",b
INTO THE BLUE,Broken Bells,Alternative / Indie,"Love On The Run, Invisible Exit, We're Not In Orbit Yet…",b
Mr. Morale & The Big Steppers,Kendrick Lamar,Conscious Hip Hop,"Father Time (feat. Sampha), The Heart Part 5, United In Grief",b
Schvitz,Vulfpeck,Funk,"Simple Step, New Guru, Sauna",b
Beatopia,beabadoobee,Indie Pop,"the perfect pair, 10:36, You’re here that’s the thing",b
how can i pretend?,Wasia Project,Singer-Songwriter / Indie,"ur so pretty, impossible, why don't u love me? - re-recorded",b
SOS,SZA,R&B,"Good Days, Kill Bill, Gone Girl",b
HERBERT,Ab-Soul,Hip Hop,"HOLLANDAISE, GOODMAN, DO BETTER",b
Ugly Season,Perfume Genius,Art Pop,"Photograph, Pop Song, Teeth",b
Harry's House,Harry Styles,Pop,"Late Night Talking, As It Was, Music For a Sushi Restaurant",b
WHO CARES?,Rex Orange County,Indie Pop,"OPEN A WINDOW (feat. Tyler, The Creator), KEEP IT UP, AMAZING",b
Everything I Know About Love,Laufey,Jazz / Indie,"Valentine, Night Light, Beautiful Stranger",b
hugo,Loyle Carner,Conscious Hip Hop,"Nobody Knows (Ladas Road), Speed Of Plight, HGU",b
Big Time,Angel Olsen,Country,"Big Time, All The Good Times, Ghost On",u
Skyline,Bronze,K-Pop / City Pop,"Time Slip (with YUKIKA), Touch (with Jue), Ondo (with LeeHi)",u
Dragon New Warm Mountain I Believe In You,Big Thief,Indie Folk,"Change, Simulation Swarm, Certainty",u
I Love You Jennifer B,Jockstrap,Glitch Pop,"Concrete Over Water, Glasgow, Neon",u
Water Your Garden,Magic City Hippies,Psychadelic Funk / Alternative Pop,"Ghost On The Mend, Queen, Champagne On The Rider",u
LP3,Hippo Campus,Indie Pop,"Semi Pro, Ashtray, Blew Its",u
The Car,Arctic Monkeys,Baroque Pop,"There’d Better Be A Mirrorball, Body Paint, Big Ideas",u
Cocodrillo Turbo,Action Bronson,Hip Hop,"Estaciones [Feat. Hologram], Subzero, Jaguar",u
Look Alive!,Early Eyes,Alternative / Indie,"Paresthesia, Chemicals, Halloween '18",u
